Keyword	Category
OXA-13	beta-lactam
OXA-130	beta-lactam
OXA-131	beta-lactam
OXA-132	beta-lactam
OXA-134	beta-lactam
OXA-136	beta-lactam
OXA-137	beta-lactam
OXA-139	beta-lactam
OXA-141	beta-lactam
OXA-142	beta-lactam
OXA-144	beta-lactam
OXA-145	beta-lactam
OXA-146	beta-lactam
OXA-147	beta-lactam
OXA-148	beta-lactam
OXA-149	beta-lactam
OXA-15	beta-lactam
OXA-150	beta-lactam
OXA-161	beta-lactam
OXA-162	beta-lactam
OXA-163	beta-lactam
OXA-164	beta-lactam
OXA-165	beta-lactam
OXA-166	beta-lactam
OXA-167	beta-lactam
OXA-168	beta-lactam
OXA-169	beta-lactam
OXA-17	beta-lactam
OXA-170	beta-lactam
OXA-171	beta-lactam
OXA-172	beta-lactam
OXA-173	beta-lactam
OXA-174	beta-lactam
OXA-175	beta-lactam
OXA-176	beta-lactam
OXA-177	beta-lactam
OXA-178	beta-lactam
OXA-179	beta-lactam
OXA-18	beta-lactam
OXA-180	beta-lactam
OXA-181	beta-lactam
OXA-183	beta-lactam
OXA-184	beta-lactam
OXA-19	beta-lactam
OXA-192	beta-lactam
OXA-194	beta-lactam
OXA-195	beta-lactam
OXA-196	beta-lactam
OXA-197	beta-lactam
OXA-2	beta-lactam
OXA-20	beta-lactam
OXA-200	beta-lactam
OXA-201	beta-lactam
OXA-202	beta-lactam
OXA-203	beta-lactam
OXA-205	beta-lactam
OXA-206	beta-lactam
OXA-207	beta-lactam
OXA-208	beta-lactam
OXA-209	beta-lactam
OXA-21	beta-lactam
OXA-210	beta-lactam
OXA-211	beta-lactam
OXA-212	beta-lactam
OXA-213	beta-lactam
OXA-214	beta-lactam
OXA-215	beta-lactam
OXA-216	beta-lactam
OXA-217	beta-lactam
OXA-219	beta-lactam
OXA-22	beta-lactam
OXA-223	beta-lactam
OXA-225	beta-lactam
OXA-226	beta-lactam
OXA-228	beta-lactam
OXA-229	beta-lactam
OXA-23	beta-lactam
OXA-230	beta-lactam
OXA-236	beta-lactam
OXA-237	beta-lactam
OXA-239	beta-lactam
OXA-24	beta-lactam
OXA-240	beta-lactam
OXA-241	beta-lactam
OXA-242	beta-lactam
OXA-243	beta-lactam
OXA-244	beta-lactam
OXA-247	beta-lactam
OXA-248	beta-lactam
OXA-25	beta-lactam
OXA-250	beta-lactam
OXA-251	beta-lactam
OXA-254	beta-lactam
OXA-257	beta-lactam
OXA-258	beta-lactam
OXA-26	beta-lactam
OXA-27	beta-lactam
OXA-278	beta-lactam
OXA-28	beta-lactam
OXA-29	beta-lactam
OXA-3	beta-lactam
OXA-309	beta-lactam
OXA-312	beta-lactam
OXA-313	beta-lactam
OXA-314	beta-lactam
OXA-315	beta-lactam
OXA-316	beta-lactam
OXA-317	beta-lactam
OXA-32	beta-lactam
OXA-322	beta-lactam
OXA-323	beta-lactam
OXA-324	beta-lactam
OXA-325	beta-lactam
OXA-326	beta-lactam
OXA-327	beta-lactam
OXA-328	beta-lactam
OXA-329	beta-lactam
OXA-330	beta-lactam
OXA-331	beta-lactam
OXA-332	beta-lactam
OXA-333	beta-lactam
OXA-334	beta-lactam
OXA-335	beta-lactam
OXA-34	beta-lactam
OXA-348	beta-lactam
OXA-349	beta-lactam
OXA-35	beta-lactam
OXA-350	beta-lactam
OXA-351	beta-lactam
OXA-352	beta-lactam
OXA-353	beta-lactam
OXA-354	beta-lactam
OXA-355	beta-lactam
OXA-356	beta-lactam
OXA-357	beta-lactam
OXA-358	beta-lactam
OXA-359	beta-lactam
OXA-36	beta-lactam
OXA-360	beta-lactam
OXA-361	beta-lactam
OXA-365	beta-lactam
OXA-37	beta-lactam
OXA-370	beta-lactam
OXA-374	beta-lactam
OXA-375	beta-lactam
OXA-376	beta-lactam
OXA-377	beta-lactam
OXA-378	beta-lactam
OXA-379	beta-lactam
OXA-380	beta-lactam
OXA-381	beta-lactam
OXA-382	beta-lactam
OXA-383	beta-lactam
OXA-384	beta-lactam
OXA-385	beta-lactam
OXA-386	beta-lactam
OXA-387	beta-lactam
OXA-388	beta-lactam
OXA-390	beta-lactam
OXA-391	beta-lactam
OXA-4	beta-lactam
OXA-42	beta-lactam
OXA-43	beta-lactam
OXA-46	beta-lactam
OXA-47	beta-lactam
OXA-48	beta-lactam
OXA-49	beta-lactam
OXA-5	beta-lactam
OXA-50	beta-lactam
OXA-51	beta-lactam
OXA-53	beta-lactam
OXA-54	beta-lactam
OXA-55	beta-lactam
OXA-56	beta-lactam
OXA-57	beta-lactam
OXA-58	beta-lactam
OXA-59	beta-lactam
OXA-60	beta-lactam
OXA-61	beta-lactam
OXA-62	beta-lactam
OXA-63	beta-lactam
OXA-64	beta-lactam
OXA-65	beta-lactam
OXA-66	beta-lactam
OXA-67	beta-lactam
OXA-68	beta-lactam
OXA-69	beta-lactam
OXA-7	beta-lactam
OXA-70	beta-lactam
OXA-71	beta-lactam
OXA-72	beta-lactam
OXA-73	beta-lactam
OXA-74	beta-lactam
OXA-75	beta-lactam
OXA-76	beta-lactam
OXA-77	beta-lactam
OXA-78	beta-lactam
OXA-79	beta-lactam
OXA-80	beta-lactam
OXA-82	beta-lactam
OXA-83	beta-lactam
OXA-84	beta-lactam
OXA-85	beta-lactam
OXA-86	beta-lactam
OXA-87	beta-lactam
OXA-88	beta-lactam
OXA-89	beta-lactam
OXA-9	beta-lactam
OXA-90	beta-lactam
OXA-91	beta-lactam
OXA-92	beta-lactam
OXA-93	beta-lactam
OXA-94	beta-lactam
OXA-95	beta-lactam
OXA-96	beta-lactam
OXA-97	beta-lactam
OXA-98	beta-lactam
OXA-99	beta-lactam
OXY-1	beta-lactam
OXY-2	beta-lactam
OXY-3	beta-lactam
OXY-4	beta-lactam
OXY-5	beta-lactam
PBP-1a	beta-lactam
PBP_1b	beta-lactam
PBP_1a	beta-lactam
PBP_1c	beta-lactam
PBP-1b	beta-lactam
PBP-2x	beta-lactam
PDC-1	beta-lactam
PDC-10	beta-lactam
PDC-2	beta-lactam
PDC-3	beta-lactam
PDC-4	beta-lactam
PDC-5	beta-lactam
PDC-6	beta-lactam
PDC-7	beta-lactam
PDC-8	beta-lactam
PDC-9	beta-lactam
PER-1	beta-lactam
PER-2	beta-lactam
PER-3	beta-lactam
PER-4	beta-lactam
PER-5	beta-lactam
PER-6	beta-lactam
PER-7	beta-lactam
PSE-1	beta-lactam
PSE-4	beta-lactam
ROB-1	beta-lactam
RTG-4	beta-lactam
RTG-5	beta-lactam
SHV	beta-lactam
SHV-1	beta-lactam
SHV-100	beta-lactam
SHV-101	beta-lactam
SHV-102	beta-lactam
SHV-105	beta-lactam
SHV-109	beta-lactam
SHV-112	beta-lactam
SHV-12	beta-lactam
SHV-120	beta-lactam
SHV-121	beta-lactam
SHV-128	beta-lactam
SHV-13	beta-lactam
SHV-133	beta-lactam
SHV-134	beta-lactam
SHV-135	beta-lactam
SHV-137	beta-lactam
SHV-14	beta-lactam
SHV-140	beta-lactam
SHV-141	beta-lactam
SHV-142	beta-lactam
SHV-143	beta-lactam
SHV-145	beta-lactam
SHV-147	beta-lactam
SHV-148	beta-lactam
SHV-149	beta-lactam
SHV-150	beta-lactam
SHV-151	beta-lactam
SHV-152	beta-lactam
SHV-153	beta-lactam
SHV-154	beta-lactam
SHV-155	beta-lactam
SHV-157	beta-lactam
SHV-158	beta-lactam
SHV-159	beta-lactam
SHV-160	beta-lactam
SHV-161	beta-lactam
SHV-162	beta-lactam
SHV-164	beta-lactam
SHV-165	beta-lactam
SHV-167	beta-lactam
SHV-168	beta-lactam
SHV-172	beta-lactam
SHV-173	beta-lactam
SHV-178	beta-lactam
SHV-179	beta-lactam
SHV-2	beta-lactam
SHV-24	beta-lactam
SHV-27	beta-lactam
SHV-28	beta-lactam
SHV-29	beta-lactam
SHV-3	beta-lactam
SHV-34	beta-lactam
SHV-35	beta-lactam
SHV-36	beta-lactam
SHV-37	beta-lactam
SHV-38	beta-lactam
SHV-39	beta-lactam
SHV-4	beta-lactam
SHV-40	beta-lactam
SHV-41	beta-lactam
SHV-42	beta-lactam
SHV-44	beta-lactam
SHV-46	beta-lactam
SHV-48	beta-lactam
SHV-5	beta-lactam
SHV-50	beta-lactam
SHV-51	beta-lactam
SHV-52	beta-lactam
SHV-53	beta-lactam
SHV-55	beta-lactam
SHV-56	beta-lactam
SHV-59	beta-lactam
SHV-6	beta-lactam
SHV-60	beta-lactam
SHV-61	beta-lactam
SHV-62	beta-lactam
SHV-63	beta-lactam
SHV-64	beta-lactam
SHV-65	beta-lactam
SHV-66	beta-lactam
SHV-67	beta-lactam
SHV-69	beta-lactam
SHV-70	beta-lactam
SHV-71	beta-lactam
SHV-77	beta-lactam
SHV-8	beta-lactam
SHV-85	beta-lactam
SHV-86	beta-lactam
SHV-93	beta-lactam
SHV-94	beta-lactam
SHV-95	beta-lactam
SHV-96	beta-lactam
SHV-97	beta-lactam
SIM-1	beta-lactam
SMB-1	beta-lactam
SME-1	beta-lactam
SME-2	beta-lactam
SME-3	beta-lactam
SME-4	beta-lactam
SME-5	beta-lactam
SRT-1	beta-lactam
SRT-2	beta-lactam
TEM-1	beta-lactam
TEM-10	beta-lactam
TEM-101	beta-lactam
TEM-102	beta-lactam
TEM-104	beta-lactam
TEM-105	beta-lactam
TEM-106	beta-lactam
TEM-107	beta-lactam
TEM-108	beta-lactam
TEM-109	beta-lactam
TEM-11	beta-lactam
TEM-110	beta-lactam
TEM-111	beta-lactam
TEM-112	beta-lactam
TEM-113	beta-lactam
TEM-114	beta-lactam
TEM-115	beta-lactam
TEM-117	beta-lactam
TEM-118	beta-lactam
TEM-120	beta-lactam
TEM-121	beta-lactam
TEM-123	beta-lactam
TEM-124	beta-lactam
TEM-125	beta-lactam
TEM-126	beta-lactam
TEM-127	beta-lactam
TEM-128	beta-lactam
TEM-129	beta-lactam
TEM-130	beta-lactam
TEM-131	beta-lactam
TEM-132	beta-lactam
TEM-133	beta-lactam
TEM-134	beta-lactam
TEM-135	beta-lactam
TEM-136	beta-lactam
TEM-137	beta-lactam
TEM-138	beta-lactam
TEM-139	beta-lactam
TEM-141	beta-lactam
TEM-142	beta-lactam
TEM-143	beta-lactam
TEM-144	beta-lactam
TEM-145	beta-lactam
TEM-146	beta-lactam
TEM-147	beta-lactam
TEM-148	beta-lactam
TEM-149	beta-lactam
TEM-15	beta-lactam
TEM-151	beta-lactam
TEM-152	beta-lactam
TEM-153	beta-lactam
TEM-154	beta-lactam
TEM-155	beta-lactam
TEM-156	beta-lactam
TEM-157	beta-lactam
TEM-158	beta-lactam
TEM-159	beta-lactam
TEM-160	beta-lactam
TEM-162	beta-lactam
TEM-163	beta-lactam
TEM-166	beta-lactam
TEM-167	beta-lactam
TEM-168	beta-lactam
TEM-169	beta-lactam
TEM-17	beta-lactam
TEM-171	beta-lactam
TEM-176	beta-lactam
TEM-177	beta-lactam
TEM-178	beta-lactam
TEM-182	beta-lactam
TEM-183	beta-lactam
TEM-184	beta-lactam
TEM-185	beta-lactam
TEM-186	beta-lactam
TEM-187	beta-lactam
TEM-188	beta-lactam
TEM-189	beta-lactam
TEM-19	beta-lactam
TEM-190	beta-lactam
TEM-193	beta-lactam
TEM-194	beta-lactam
TEM-195	beta-lactam
TEM-197	beta-lactam
TEM-198	beta-lactam
TEM-2	beta-lactam
TEM-20	beta-lactam
TEM-201	beta-lactam
TEM-205	beta-lactam
TEM-208	beta-lactam
TEM-209	beta-lactam
TEM-21	beta-lactam
TEM-211	beta-lactam
TEM-213	beta-lactam
TEM-216	beta-lactam
TEM-22	beta-lactam
TEM-28	beta-lactam
TEM-29	beta-lactam
TEM-3	beta-lactam
TEM-30	beta-lactam
TEM-33	beta-lactam
TEM-34	beta-lactam
TEM-40	beta-lactam
TEM-43	beta-lactam
TEM-45	beta-lactam
TEM-47	beta-lactam
TEM-48	beta-lactam
TEM-49	beta-lactam
TEM-52	beta-lactam
TEM-53	beta-lactam
TEM-54	beta-lactam
TEM-55	beta-lactam
TEM-57	beta-lactam
TEM-6	beta-lactam
TEM-60	beta-lactam
TEM-63	beta-lactam
TEM-67	beta-lactam
TEM-68	beta-lactam
TEM-70	beta-lactam
TEM-72	beta-lactam
TEM-75	beta-lactam
TEM-76	beta-lactam
TEM-77	beta-lactam
TEM-78	beta-lactam
TEM-79	beta-lactam
TEM-80	beta-lactam
TEM-81	beta-lactam
TEM-82	beta-lactam
TEM-83	beta-lactam
TEM-84	beta-lactam
TEM-85	beta-lactam
TEM-86	beta-lactam
TEM-87	beta-lactam
TEM-88	beta-lactam
TEM-89	beta-lactam
TEM-90	beta-lactam
TEM-91	beta-lactam
TEM-92	beta-lactam
TEM-93	beta-lactam
TEM-94	beta-lactam
TEM-95	beta-lactam
TEM-96	beta-lactam
THIN-B	beta-lactam
TUS-1	beta-lactam
Toho-1	beta-lactam
VEB-1	beta-lactam
VEB-2	beta-lactam
VEB-3	beta-lactam
VEB-4	beta-lactam
VEB-5	beta-lactam
VEB-6	beta-lactam
VEB-7	beta-lactam
VEB-8	beta-lactam
VIM-1	beta-lactam
VIM-10	beta-lactam
VIM-12	beta-lactam
VIM-13	beta-lactam
VIM-14	beta-lactam
VIM-15	beta-lactam
VIM-16	beta-lactam
VIM-18	beta-lactam
VIM-2	beta-lactam
VIM-23	beta-lactam
VIM-24	beta-lactam
VIM-25	beta-lactam
VIM-26	beta-lactam
VIM-28	beta-lactam
VIM-30	beta-lactam
VIM-33	beta-lactam
VIM-34	beta-lactam
VIM-4	beta-lactam
VIM-7	beta-lactam
VIM-8	beta-lactam
VIM-9	beta-lactam
ampC	beta-lactam
blaB	beta-lactam
blaI	beta-lactam
blaR1	beta-lactam
blaZ	beta-lactam
ccrA	beta-lactam
AcrB/AcrD/AcrF family	multidrug
cephalosporinase_DHA-2	beta-lactam
class_A_beta-lactamase	beta-lactam
class_B_beta-lactamase	beta-lactam
class_C_beta-lactamase	beta-lactam
class_D_beta-lactamase	beta-lactam
fmtC	beta-lactam
mecA	beta-lactam
mecC	beta-lactam
mecI	beta-lactam
mecR1	beta-lactam
metallo-beta-lactamase	beta-lactam
penA	beta-lactam
bleO	bleomycin
bleomycin_resistance_protein	bleomycin
carA	carbomycin
catA	chloramphenicol
catB	chloramphenicol
catD	chloramphenicol
catP	chloramphenicol
catQ	chloramphenicol
catS	chloramphenicol
cat	chloramphenicol
cmlA	chloramphenicol
cmrA	chloramphenicol
floR	chloramphenicol
fosA	fosfomycin
fosB	fosfomycin
fosC	fosfomycin
fosX	fosfomycin
rosA	fosmidomycin
rosB	fosmidomycin
fusB	fusaric-acid
fusH	fusidic-acid
ksgA	kasugamycin
ereA	macrolide-lincosamide-streptogramin
ereB	macrolide-lincosamide-streptogramin
erm(31)	macrolide-lincosamide-streptogramin
erm(33)	macrolide-lincosamide-streptogramin
erm(34)	macrolide-lincosamide-streptogramin
erm(35)	macrolide-lincosamide-streptogramin
erm(36)	macrolide-lincosamide-streptogramin
erm(38)	macrolide-lincosamide-streptogramin
erm(39)	macrolide-lincosamide-streptogramin
erm(41)	macrolide-lincosamide-streptogramin
erm(TR)	macrolide-lincosamide-streptogramin
ermA	macrolide-lincosamide-streptogramin
ermB	macrolide-lincosamide-streptogramin
ermC	macrolide-lincosamide-streptogramin
ermE	macrolide-lincosamide-streptogramin
ermF	macrolide-lincosamide-streptogramin
ermG	macrolide-lincosamide-streptogramin
ermH	macrolide-lincosamide-streptogramin
ermN	macrolide-lincosamide-streptogramin
ermO	macrolide-lincosamide-streptogramin
ermS	macrolide-lincosamide-streptogramin
ermT	macrolide-lincosamide-streptogramin
ermX	macrolide-lincosamide-streptogramin
lmrA	macrolide-lincosamide-streptogramin
lmrB	macrolide-lincosamide-streptogramin
lmrP	macrolide-lincosamide-streptogramin
lnuA	macrolide-lincosamide-streptogramin
